Fact Number,Fact
1,"Volkswagen was founded on May 28, 1937, by the German Labour Front, known as the Deutsche Arbeitsfront."
2,"The original purpose of the company was to mass-produce an affordable, fuel-efficient car for the German working class."
3,The official original name of the company in Nazi Germany was Gesellschaft zur Vorbereitung des Deutschen Volkswagen mbH.
4,The company was shortened to Volkswagenwerk GmbH in July 1938.
5,The iconic design of the Volkswagen Beetle was created by Austro-Hungarian automotive engineer Ferdinand Porsche.
6,"Adolf Hitler heavily promoted the ""People's Car"" project, demanding it carry two adults and three children at speeds up to 100 km/h while costing no more than 990 Reichsmarks."
7,"Ferdinand Porsche built the initial prototypes, known as the ""KdF-Wagen"" (Kraft durch Freude, or Strength Through Joy)."
8,"The first factory for the company was established in a brand-new planned town initially called Stadt des KdF-Wagens, which was later renamed Wolfsburg."
9,"Construction of the massive Wolfsburg factory began in 1938, but very few KdF-Wagens were built for civilians before World War II intervened."
10,"With the outbreak of World War II in 1939, production at the Wolfsburg plant was forcefully shifted away from consumer cars to military vehicles."
11,"The primary military vehicle produced at the plant was the Type 82 Kübelwagen, a light military utility vehicle based on the Beetle's mechanical platform."
12,"Volkswagen also produced the Schwimmwagen, an amphibious four-wheel-drive variant powered by the air-cooled flat-four engine."
13,"During the war, the factory also manufactured the V-1 flying bomb, utilizing thousands of forced laborers, concentration camp prisoners, and foreign workers under brutal conditions."
14,"By the end of World War II in 1945, the Wolfsburg factory was heavily damaged by Allied bombing raids."
15,"Following Germany's surrender, the British Army took control of the ruined Wolfsburg plant under the command of Major Ivan Hirst."
16,Major Hirst recognized the potential of the remaining factory equipment and ordered the factory to begin rebuilding civilian Beetles for British military transport.
17,The British military administration officially renamed the town Wolfsburg in May 1945.
18,"In 1946, the plant achieved a milestone of producing 1,000 cars a month, an astonishing feat given the rubble and material shortages."
19,"Volkswagen manufactured its 10,000th car in March 1946, less than a year after the British takeover."
20,"In 1948, Heinz Nordhoff was appointed general director of Volkswagen, bringing vital leadership that would steer the company's global expansion."
21,"In October 1949, the British handed full control of Volkswagen back to the German government and the state of Lower Saxony."
22,"The Volkswagen logo, featuring a stacked V and W inside a circle, evolved from initial gear-like motifs into a clean, modern corporate badge."
23,The Volkswagen Beetle was officially designated internally as the Type 1.
24,"In 1950, Volkswagen expanded its lineup beyond the Beetle by introducing the Type 2, better known as the Transporter, Microbus, or Kombi."
25,"The Type 2 Transporter was conceptualized by Dutch Volkswagen importer Ben Pon, who sketched a delivery van based on the Beetle chassis."
26,"The Volkswagen Beetle surpassed 100,000 total units produced in 1950."
27,"In 1951, Volkswagen began exporting the Beetle to international markets, beginning a massive global export wave."
28,Volkswagen of America was established in 1955 to handle the surging popularity of the Beetle and Microbus in the United States.
29,"By August 1955, the one-millionth Volkswagen Beetle rolled off the assembly line in Wolfsburg."
30,"In 1955, industrial designer Wilhelm Karmann began producing the Karmann Ghia, a stylish sports coupe blending Italian styling by Carrozzeria Ghia with Beetle mechanicals."
31,"The Karmann Ghia convertible variant was introduced in 1957, expanding the sporty appeal of the brand."
32,"In 1961, Volkswagen introduced the Type 3, known as the Karmann Ghia successor line, featuring notchback, fastback, and squareback body styles."
33,"The Type 3 introduced a ""flat"" version of the air-cooled boxer engine to maximize cargo space under the rear floorboards."
34,"Volkswagen purchased Auto Union from Daimler-Benz in 1964, gaining ownership of the Audi brand and vital water-cooled engine technology."
35,"In 1965, the millionth Volkswagen was sold in the United States alone."
36,"Volkswagen acquired NSU Motorenwerke AG in 1969, merging it with Auto Union to form Audi NSU Auto Union AG."
37,"In 1968, the Type 4 (Volkswagen 411/412) was introduced, featuring a unibody construction and a larger air-cooled engine."
38,"The Volkswagen Beetle finally surpassed the long-standing production record of the Ford Model T on February 17, 1972, with Beetle number 15,007,034 built."
39,"To celebrate the production record, Volkswagen released a special edition model called the ""Super Beetle"" 1302/1303 series featuring MacPherson strut front suspension."
40,"Recognizing that rear-engine, air-cooled technology was reaching the end of its regulatory and market life, Volkswagen initiated development of front-wheel-drive, water-cooled vehicles in the early 1970s."
41,The Audi acquisition provided the engineering blueprint for the revolutionary water-cooled front-wheel-drive platforms that would save the company.
42,"In 1973, Volkswagen launched the Passat, a modern front-wheel-drive hatchback and estate developed from Audi's engineering base."
43,"In 1974, Volkswagen introduced the Scirocco, a sporty compact coupe styled by Giorgetto Giugiaro."
44,"On March 29, 1974, the very last German-built Beetle rolled off the Wolfsburg production line, though production continued elsewhere."
45,"In May 1974, Volkswagen introduced the Golf (marketed as the Rabbit in North America), replacing the Beetle as the brand's volume hatchback."
46,The Golf was designed by legendary Italian automotive designer Giorgetto Giugiaro.
47,"The Golf quickly became a massive global success, establishing the standard for the modern hot hatchback category."
48,"In 1976, Volkswagen launched the high-performance Golf GTI, revolutionizing affordable sports cars."
49,"In 1975, Volkswagen introduced the Polo, a smaller, highly economical supermini based on the Audi 50."
50,"Despite the shift to water-cooled models, Volkswagen continued to manufacture air-cooled Beetles, buses, and specialized vehicles in international plants."
51,"Volkswagen established production facilities outside Germany early on, including Volkswagen do Brasil, founded in 1953."
52,"Volkswagen de México began operations in Puebla, Mexico, in the 1960s, eventually becoming the ultimate global stronghold for air-cooled Beetle production."
53,"The Volkswagen Beetle was affectionately given numerous nicknames worldwide, including ""Bug,"" ""Vocho,"" ""Fusca,"" ""Coccinelle,"" and ""Käfer."""
54,"The air-cooled flat-four engine powering the classic Volkswagen lineup utilized horizontally opposed cylinders, making it compact and balanced."
55,Classic air-cooled Volkswagen engines relied on cooling fins on the cylinder heads and a specialized engine cooling fan shroud driven by the generator/alternator belt.
56,"The early air-cooled engines featured a displacement of 1,100cc and produced a modest 25 horsepower."
57,"Engine displacement gradually increased over the decades to 1,200cc, 1,300cc, 1,500cc, and eventually 1,600cc in standard late-model configurations."
58,The electrical system on early air-cooled Volkswagens operated on 6 volts until switching to 12 volts in the late 1960s.
59,The classic Volkswagen transmission used a transaxle layout combining the manual gearbox and differential into a single housing.
60,"Early Beetles used split-rear windows until 1953, when a larger oval window was introduced."
61,"In 1958, the Beetle rear window was enlarged again into a square panoramic shape that persisted through the end of standard production."
